timestep,action,reward
1,-0.43081522,-0.01856017536795207
2,-0.5046106,-0.025463185570203353
3,-0.17211574,-0.002962382904360439
4,-0.6292524,-0.039595855040136387
5,-0.7808374,-0.06097070712388728
6,-0.65586823,-0.04301631380750202
7,-0.5655752,-0.03198752869896602
8,-0.8313606,-0.06911604115453543
9,-0.84212893,-0.0709181138913241
10,-0.79122543,-0.06260376863792771
11,-1.1141043,-0.12412283265157385
12,-0.7237902,-0.05238722946793395
13,-1.0399671,-0.10815314860703894
14,-0.7802426,-0.06087785490272815
15,-0.9582096,-0.09181655881317888
16,-0.8602904,-0.07400995863281566
17,-0.99705577,-0.09941202064297272
18,-1.0646001,-0.11333733943270233
19,-1.3088671,-0.17131330773498946
20,-0.9442038,-0.08915208046087778
21,-0.8411223,-0.07074867727378412
22,-0.7523527,-0.05660346070735614
23,-0.33985388,-0.011550066164717522
24,-0.0993668,-0.0009873760742895366
25,0.120375514,-0.0014490264378096641
26,0.29310822,-0.008591243148572403
27,0.08837861,-0.0007810778392101981
28,0.2659428,-0.007072557923635259
29,0.30633065,-0.009383846776955897
30,0.3051112,-0.009309284413196029
31,0.4355015,-0.018966154436308447
32,0.5305176,-0.02814489006996155
33,0.51965237,-0.02700385821526652
34,0.32596695,-0.01062544552508058
35,0.6220658,-0.038696583781580786
36,0.30831546,-0.009505842035517631
37,0.36435717,-0.013275614983925621
38,0.17100708,-0.002924342204841524
39,0.2379165,-0.005660426067547153
40,0.3807575,-0.01449762819255831
41,0.12101367,-0.001464430860755872
42,0.35020855,-0.012264602897751421
43,0.46731415,-0.021838251844432312
44,0.7206019,-0.05192671217942149
45,0.39107466,-0.015293938769195848
46,0.78594375,-0.06177075727674151
47,0.6095991,-0.03716110791365281
48,0.7028034,-0.04939325815735743
49,0.6402749,-0.040995192492552235
50,0.4573962,-0.0209211292227085
51,0.8084161,-0.06535366362668925
52,0.50055987,-0.02505601798787929
53,0.34613386,-0.011980864763005972
54,0.4110814,-0.01689879202984992
55,0.5679909,-0.032261366144452096
56,0.6396857,-0.04091977825063431
57,0.7996131,-0.06393811387522562
58,0.49918175,-0.024918241697378107
59,0.7842419,-0.06150353808494061
60,0.8064643,-0.06503846904986546
61,1.0591059,-0.11217052504516688
62,0.3485171,-0.012146416207934241
63,0.547317,-0.029955592918872755
64,0.8908033,-0.07935304791914213
65,0.843676,-0.07117891440954197
66,1.0672115,-0.11389404044104055
67,0.6647225,-0.04418560049730367
68,0.7684126,-0.05904579085117803
69,0.9591583,-0.09199846470552445
70,0.6048717,-0.03658697616940607
71,1.0966865,-0.12027212407435997
72,0.8251346,-0.06808470674660363
73,0.9117082,-0.08312117984332623
74,0.8452534,-0.07144533236598286
75,0.91581905,-0.08387245302942717
76,0.7235732,-0.05235581871259001
77,0.8611181,-0.07415243446576483
78,0.9278954,-0.08609899229839045
79,1.1552296,-0.13345553558938264
80,1.0039982,-0.10080123060107696
81,0.9955638,-0.09911472900317655
82,0.6077952,-0.03694149794822046
83,0.8267618,-0.06835350444558266
84,1.0189323,-0.10382231186522405
85,0.7919334,-0.06271585374685316
86,0.891107,-0.07940717260162877
87,0.9371728,99.91217071982331
