timestep,action,reward
1,-0.11415474,-0.0013031304931138132
2,-0.71445966,-0.0510452602436601
3,-0.46250147,-0.021390760630584184
4,0.35056537,-0.012289608137593078
5,-0.20460725,-0.004186412605946543
6,0.08495779,-0.000721782665174886
7,-0.2525016,-0.006375706150789995
8,0.20611863,-0.00424848889663585
9,-0.18320796,-0.003356515621774836
10,0.08397609,-0.0007051983684025487
11,-0.20794876,-0.00432426864520663
12,0.00897862,-8.061562018490953e-06
13,0.098137125,-0.0009630895376453674
14,-0.26580852,-0.007065417074062808
15,-0.04987499,-0.0002487514745056707
16,0.5540505,-0.030697196226947554
17,0.29798353,-0.008879418247273918
18,0.10829583,-0.0011727986384735267
19,0.49128294,-0.024135892704748585
20,0.16368343,-0.002679226504717769
21,-0.31563768,-0.009962714371511883
22,-0.23340708,-0.005447886507511513
23,0.0024052411,-5.785184902018514e-07
24,-0.11619672,-0.0013501678155258823
25,0.1363274,-0.0018585160209856123
26,-0.19131628,-0.003660191776429489
27,-0.2817919,-0.007940667244160782
28,-0.18625736,-0.003469180503543612
29,0.07497531,-0.000562129737292949
30,0.16692916,-0.00278653429853728
31,-0.3456928,-0.011950352123395548
32,0.23469372,-0.005508114264714892
33,0.2368254,-0.0056086273188217465
34,-0.34130996,-0.011649249197404643
35,-0.54593015,-0.029803972559017212
36,-0.28980488,-0.00839868660668266
37,0.21157368,-0.004476342006930723
38,0.296153,-0.008770660470293378
39,-0.8538594,-0.07290759169629837
40,-0.19292629,-0.0037220552466820326
41,0.13332725,-0.0017776154449222759
42,0.14532346,-0.0021118906670128724
43,-0.31185272,-0.009725212106708715
44,-0.30939698,-0.009572649259013133
45,0.1622962,-0.00263400584037834
46,0.16685076,-0.002783917630582722
47,0.054028768,-0.0002919107781581679
48,0.5069181,-0.025696593243038992
49,-0.0012605749,-1.5890490963205164e-07
50,-0.07242448,-0.00052453051336388
51,0.98270285,-0.0965704893944249
52,0.13925792,-0.0019392769053823368
53,-0.35722455,-0.012760938185437798
54,0.25093314,-0.0062967441009363695
55,0.38373038,-0.014724900586051692
56,-0.30845803,-0.009514635640957537
57,-0.30749753,-0.009455473167909734
58,-0.062139913,-0.00038613688422997063
59,0.24637035,-0.006069834706988875
60,0.2927466,-0.008570057385430018
61,-0.059276037,-0.00035136485527234584
62,0.18786778,-0.003529430109364662
63,-0.056579456,-0.00032012348110763703
64,0.0627502,-0.00039375873423908584
65,-0.33908257,-0.0114976988520902
66,0.075558476,-0.0005709083318115538
67,0.44673502,-0.01995721820723162
68,0.26357982,-0.006947431920551229
69,0.088338375,-0.0007803668513815865
70,-0.19307825,-0.0037279210504480354
71,0.14802118,-0.0021910268679834256
72,-0.6549924,-0.04290150461535838
73,0.019649066,-3.86085795889779e-05
74,-0.24766013,-0.006133554012157649
75,-0.25695738,-0.006602709614565417
76,-0.44497064,-0.019799886829045567
77,-0.30330104,-0.009199151865576382
78,-0.2735359,-0.007482189256521466
79,-0.012021035,-1.4450528141285446e-05
80,0.06883608,-0.00047384056409962574
81,0.038967535,-0.00015184687761602423
82,0.14501189,-0.0021028447358048875
83,-0.54225206,-0.029403730064245792
84,-0.45171365,-0.02040452228780021
85,-0.6168327,-0.03804825471584117
86,-1.075047,-0.11557260869196853
87,-0.014124662,-1.995060676884819e-05
88,-0.42737997,-0.0182653635151965
89,-0.765691,-0.05862826804394992
90,-0.42196858,-0.017805748190995986
91,-0.49788532,-0.024788978849617484
92,-0.29980567,-0.00898834403497526
93,-0.48110527,-0.023146227889884942
94,-0.4113452,-0.016920488479412743
95,-0.8836249,-0.07807929838845809
96,0.04233831,-0.00017925326352532525
