timestep,action,reward
1,0.11490669,-0.0013203547639963065
2,-0.021382874,-4.5722729527744936e-05
3,-0.27280444,-0.0074422261975119145
4,-0.3896132,-0.01517984543064621
5,-0.75845486,-0.0575253773530168
6,-0.12903707,-0.0016650564735867458
7,0.21204236,-0.004496196306959722
8,0.3861046,-0.014907677259884712
9,0.32435596,-0.010520678871763778
10,-0.08115653,-0.0006586382278241099
11,-0.15963748,-0.0025484125331787233
12,0.34173936,-0.011678578779319437
13,-0.706888,-0.049969067287409887
14,0.04855165,-0.00023572626065595517
15,0.050382793,-0.0002538425825409974
16,0.3040548,-0.009244931939366907
17,-0.10773503,-0.0011606836765176765
18,-0.2798258,-0.007830248204926704
19,0.20914716,-0.004374253256375838
20,-0.55801743,-0.031138345518556678
21,-0.17399326,-0.0030273654410017947
22,-1.4486182,-0.2098494612882007
23,-0.17520069,-0.003069528032536817
24,0.13150364,-0.0017293207755475493
25,-0.11822086,-0.0013976171331488152
26,0.031738237,-0.00010073156590826305
27,0.45427215,-0.020636318716812242
28,-0.29734465,-0.00884138437372437
29,0.17779233,-0.0031610111047904125
30,0.05777838,-0.0003338341289165714
31,0.29471046,-0.008685425365669986
32,-0.017615035,-3.1028946426148174e-05
33,0.008125991,-6.603172370578392e-06
34,0.29426137,-0.00865897515960592
35,0.41281223,-0.01704139396906612
36,0.5822526,-0.03390181154191083
37,-0.25867736,-0.006691397833334634
38,-0.17818514,-0.0031749942379911467
39,-0.13096367,-0.0017151482395523
40,0.04753381,-0.00022594631063022064
41,-0.07194804,-0.0005176519963612458
42,-0.3034573,-0.009208632681418383
43,0.3976217,-0.01581030093341873
44,-0.025089048,-6.29460321978359e-05
45,0.017423827,-3.0358975433476822e-05
46,0.36937338,-0.013643669469320586
47,-0.51786375,-0.026818286403818094
48,0.46697506,-0.021806570954375906
49,0.38244972,-0.014626778552057207
50,0.34640762,-0.011999824064823007
51,0.14296103,-0.0020437854737110684
52,-0.093770035,-0.0008792819390990359
53,-0.20529121,-0.004214448156227846
54,0.48057753,-0.02309547608767879
55,0.52418727,-0.027477229070317223
56,-0.15323368,-0.0023480559812548486
57,0.27636278,-0.007637638437644512
58,-0.578632,-0.033481498807772424
59,0.14863569,-0.00220925669873715
60,-0.4582455,-0.02099889254586609
61,-0.1572241,-0.002471941881835549
62,-0.14211126,-0.002019560928614994
63,0.07323216,-0.0005362949114513293
64,-0.0934406,-0.000873114567968708
65,-0.4037034,-0.016297642835056438
66,-0.27706182,-0.007676325211845381
67,0.044861063,-0.00020125150058947217
68,0.13375452,-0.001789027205067928
69,-0.2046924,-0.00418989759736812
70,-0.369968,-0.01368763188590414
71,-0.30451474,-0.009272922440285302
72,-0.07695309,-0.0005921778172488569
73,-0.5396122,-0.029118129836582796
74,0.13488755,-0.001819465014707422
75,-0.06436463,-0.0004142805209321532
76,0.40426224,-0.01634279624910029
77,0.6991426,-0.04888003405467459
78,0.34616202,-0.011982814489366334
79,0.22523867,-0.005073245663369997
80,-0.43662456,-0.019064100358321047
81,0.16175342,-0.002616416760753282
82,-0.13782986,-0.0018997068952592011
83,-0.30216828,-0.009130566936941253
84,0.20858729,-0.004350865707250762
85,-0.12813152,-0.0016417687372954016
86,0.23587097,-0.005563511556230006
